id,source_idx,category,prompt,conversation,annotator_answer,notes
1,257,HYBRID,assess email-appropriate communication style.,"Channel: phone | Tags: refund, technical, bug

[2025-01-15 10:00:00] CUSTOMER: Hi, I need help with the subscription renewal.
[2025-01-15 10:09:57] AGENT: I apologize for the inconvenience with the subscription renewal. Let me investigate.
[2025-01-15 10:11:13] CUSTOMER: That's still not working for me.
[2025-01-15 10:14:29] AGENT: I've escalated the the subscription renewal matter to our specialist team.
[2025-01-15 10:17:48] CUSTOMER: Could you explain further?",no,
2,235,HYBRID,"If the agent added internal notes, assess whether they offered an appropriate follow-up channel before ending the conversation.","Channel: email | Tags: feedback, bug, escalated

[2025-01-15 10:00:00] CUSTOMER: I've been trying to the integration setup but it's not working.
[2025-01-15 10:13:37] AGENT: I see the issue with the integration setup. Here's what I can do.
[2025-01-15 10:16:48] CUSTOMER: I appreciate the quick response.
[2025-01-15 10:20:40] AGENT: The the integration setup issue should now be resolved. Please verify.
[2025-01-15 10:23:08] CUSTOMER: I appreciate the quick response.
[2025-01-15 10:26:31] AGENT: Could you try again? I've updated the the integration setup settings.
[2025-01-15 10:31:06] CUSTOMER: Could you explain further?",No,
3,217,SEMANTIC,Confirm the agent didn’t act annoyed when the customer declined alternatives.,"Channel: phone | Tags: escalated, feature_request, technical

[2025-01-15 10:00:00] CUSTOMER: I've been trying to the mobile app crash but it's not working.
[2025-01-15 10:12:14] AGENT: Let me review your the mobile app crash situation.
[2025-01-15 10:13:16] CUSTOMER: OK, I'll try that.
[2025-01-15 10:15:47] AGENT: I've applied a fix for the the mobile app crash issue.
[2025-01-15 10:16:44] CUSTOMER: Great, that fixed it!
[2025-01-15 10:19:02] AGENT: Could you try again? I've updated the the mobile app crash settings.
[2025-01-15 10:23:08] CUSTOMER: Great, that fixed it!
[2025-01-15 10:26:47] AGENT: I've checked and here's what I found regarding the mobile app crash.
[2025-01-15 10:28:00] CUSTOMER: I appreciate the quick response.",yes,
4,239,HYBRID,"If an urgent tag is present, did the agent’s first line convey calm reassurance appropriate to an upgrade request?","Channel: email | Tags: feedback

[2025-01-15 10:00:00] CUSTOMER: Hello, I'm having an issue with the mobile app crash.
[2025-01-15 10:00:44] AGENT: Thank you for reaching out. I'll check on the mobile app crash right away.
[2025-01-15 10:01:18] CUSTOMER: OK, I'll try that.
[2025-01-15 10:03:20] AGENT: Could you try again? I've updated the the mobile app crash settings.
[2025-01-15 10:07:22] CUSTOMER: Could you explain further?
[2025-01-15 10:12:22] AGENT: I've escalated the the mobile app crash matter to our specialist team.
[2025-01-15 10:16:00] CUSTOMER: Thank you, that helps.",no,
5,195,SEMANTIC,"Determine whether the greeting was aligned with the customer’s frustration about a late package, and included a quick check for understanding.","Channel: phone | Tags: urgent, technical

[2025-01-15 10:00:00] CUSTOMER: I've been trying to the integration setup but it's not working.
[2025-01-15 10:06:59] AGENT: I see the issue with the integration setup. Here's what I can do.
[2025-01-15 10:07:47] CUSTOMER: Great, that fixed it!
[2025-01-15 10:09:00] AGENT: The the integration setup issue should now be resolved. Please verify.
[2025-01-15 10:11:55] CUSTOMER: Thank you, that helps.
[2025-01-15 10:14:00] AGENT: I've applied a fix for the the integration setup issue.
[2025-01-15 10:17:29] CUSTOMER: That's still not working for me.
[2025-01-15 10:19:36] AGENT: Please don't hesitate to reach out if you need more help.",no,
6,253,HYBRID,"For cases with internal notes present, evaluate whether the agent’s closing acknowledged the customer’s effort and offered continued help.","Channel: phone | Tags: billing, refund

[2025-01-15 10:00:00] CUSTOMER: Quick question about the billing charge.
[2025-01-15 10:23:30] AGENT: I apologize for the inconvenience with the billing charge. Let me investigate.
[2025-01-15 10:27:58] CUSTOMER: Could you explain further?
[2025-01-15 10:30:20] AGENT: I've checked and here's what I found regarding the billing charge.
[2025-01-15 10:34:45] CUSTOMER: OK, I'll try that.
[2025-01-15 10:38:37] AGENT: The the billing charge issue should now be resolved. Please verify.
[2025-01-15 10:43:18] CUSTOMER: I appreciate the quick response.
[2025-01-15 10:47:18] AGENT: I've escalated the the billing charge matter to our specialist team.
[2025-01-15 10:48:02] CUSTOMER: Great, that fixed it!",No,
7,245,HYBRID,Evaluate both response speed (15 minute threshold) and helpfulness.,"Channel: email | Tags: bug, technical

[2025-01-15 10:00:00] CUSTOMER: Urgent: service outage is causing problems for our team.
[2025-01-15 10:00:31] AGENT: Let me review your service outage situation.
[2025-01-15 10:01:51] CUSTOMER: Thank you, that helps.
[2025-01-15 10:05:08] AGENT: Could you try again? I've updated the service outage settings.
[2025-01-15 10:09:08] CUSTOMER: OK, I'll try that.
[2025-01-15 10:11:04] AGENT: I've checked and here's what I found regarding service outage.
[2025-01-15 10:14:32] CUSTOMER: Great, that fixed it!
[2025-01-15 10:18:43] AGENT: Please don't hesitate to reach out if you need more help.",yes,
8,268,HYBRID,"If this came via twitter, was communication style suitable?","Channel: email | Tags: billing, refund, technical

[2025-01-15 10:00:00] CUSTOMER: Hi, I need help with product returns.
[2025-01-15 10:18:32] AGENT: I see the issue with product returns. Here's what I can do.
[2025-01-15 10:19:31] CUSTOMER: Could you explain further?
[2025-01-15 10:23:45] AGENT: I've checked and here's what I found regarding product returns.
[2025-01-15 10:28:12] CUSTOMER: OK, I'll try that.
[2025-01-15 10:31:02] AGENT: Glad I could help. Have a great day!",no,
9,193,SEMANTIC,"did the agent give clear final confirmation after checking your understanding, or did they just stop replying?","Channel: email | Tags: 

[2025-01-15 10:00:00] CUSTOMER: Can someone help me with my account login?
[2025-01-15 10:22:26] AGENT: I see the issue with my account login. Here's what I can do.
[2025-01-15 10:26:50] CUSTOMER: Is there anything else I should know?
[2025-01-15 10:31:15] AGENT: I've applied a fix for the my account login issue.
[2025-01-15 10:35:51] CUSTOMER: I appreciate the quick response.
[2025-01-15 10:39:33] AGENT: Could you try again? I've updated the my account login settings.
[2025-01-15 10:43:27] CUSTOMER: Great, that fixed it!
[2025-01-15 10:47:16] AGENT: I've applied a fix for the my account login issue.
[2025-01-15 10:51:16] CUSTOMER: OK, I'll try that.
[2025-01-15 10:53:05] AGENT: Please don't hesitate to reach out if you need more help.",yes,
10,247,HYBRID,"If the customer cites a previous case number in an email, evaluate whether the agent used that history effectively to resolve the billing dispute faster.","Channel: phone | Tags: billing, technical

[2025-01-15 10:00:00] CUSTOMER: Hello, I'm having an issue with the subscription renewal.
[2025-01-15 10:18:22] AGENT: I understand, let me look into the subscription renewal for you.
[2025-01-15 10:23:03] CUSTOMER: OK, I'll try that.
[2025-01-15 10:26:30] AGENT: I've checked and here's what I found regarding the subscription renewal.
[2025-01-15 10:29:07] CUSTOMER: I appreciate the quick response.
[2025-01-15 10:29:53] AGENT: The the subscription renewal issue should now be resolved. Please verify.
[2025-01-15 10:33:44] CUSTOMER: Could you explain further?
[2025-01-15 10:37:56] AGENT: I've checked and here's what I found regarding the subscription renewal.
[2025-01-15 10:42:08] CUSTOMER: That's still not working for me.",no,
11,266,HYBRID,"If tagged 'legal' and over 10 turns, was urgency maintained?","Channel: email | Tags: escalated, vip, complaint

[2025-01-15 10:00:00] CUSTOMER: Hi, I need help with the billing charge.
[2025-01-15 10:04:22] AGENT: I see the issue with the billing charge. Here's what I can do.
[2025-01-15 10:07:39] CUSTOMER: Great, that fixed it!
[2025-01-15 10:10:42] AGENT: I've applied a fix for the the billing charge issue.
[2025-01-15 10:13:53] CUSTOMER: OK, I'll try that.
[2025-01-15 10:17:29] AGENT: Could you try again? I've updated the the billing charge settings.
[2025-01-15 10:18:20] CUSTOMER: Is there anything else I should know?
[2025-01-15 10:20:59] AGENT: Glad I could help. Have a great day!",no,
12,244,HYBRID,"If the ticket is urgent and was transferred at least once, evaluate whether the greeting after transfer re-established rapport appropriately for the upgrade request.","Channel: email | Tags: complaint, billing, refund

[2025-01-15 10:00:00] CUSTOMER: I'm frustrated — order cancellation hasn't been resolved.
[2025-01-15 10:21:52] AGENT: I understand, let me look into order cancellation for you.
[2025-01-15 10:24:33] CUSTOMER: Could you explain further?
[2025-01-15 10:27:34] AGENT: The order cancellation issue should now be resolved. Please verify.
[2025-01-15 10:31:12] CUSTOMER: OK, I'll try that.
[2025-01-15 10:34:15] AGENT: The order cancellation issue should now be resolved. Please verify.
[2025-01-15 10:36:19] CUSTOMER: I appreciate the quick response.
[2025-01-15 10:38:55] AGENT: The order cancellation issue should now be resolved. Please verify.
[2025-01-15 10:43:32] CUSTOMER: Great, that fixed it!
[2025-01-15 10:44:45] AGENT: Please don't hesitate to reach out if you need more help.",no,
13,229,SEMANTIC,Detect whether the agent used a courteous final line and offered extra help after handling the lost password.,"Channel: chat | Tags: urgent

[2025-01-15 10:00:00] CUSTOMER: Can someone help me with the mobile app crash?
[2025-01-15 10:08:27] AGENT: I see the issue with the mobile app crash. Here's what I can do.
[2025-01-15 10:10:54] CUSTOMER: Could you explain further?
[2025-01-15 10:12:17] AGENT: I've applied a fix for the the mobile app crash issue.
[2025-01-15 10:14:55] CUSTOMER: Thank you, that helps.
[2025-01-15 10:16:12] AGENT: I've escalated the the mobile app crash matter to our specialist team.
[2025-01-15 10:17:19] CUSTOMER: Is there anything else I should know?
[2025-01-15 10:20:39] AGENT: The the mobile app crash issue should now be resolved. Please verify.
[2025-01-15 10:24:23] CUSTOMER: Is there anything else I should know?",no,
14,240,HYBRID,"For VIP return tickets, check whether the greeting used the customer’s name (when available) and felt respectful.","Channel: chat | Tags: billing

[2025-01-15 10:00:00] CUSTOMER: Hello, I'm having an issue with password reset.
[2025-01-15 10:23:22] AGENT: I see the issue with password reset. Here's what I can do.
[2025-01-15 10:25:59] CUSTOMER: OK, I'll try that.
[2025-01-15 10:30:31] AGENT: Could you try again? I've updated the password reset settings.
[2025-01-15 10:34:42] CUSTOMER: Is there anything else I should know?
[2025-01-15 10:35:15] AGENT: I've applied a fix for the password reset issue.
[2025-01-15 10:37:29] CUSTOMER: Could you explain further?",no,
15,219,SEMANTIC,"Did the agent pause to reflect the customer’s situation, then suggest keep-plan options?","Channel: phone | Tags: feature_request, billing

[2025-01-15 10:00:00] CUSTOMER: We've noticed an issue with a shipping delay recently.
[2025-01-15 10:19:23] AGENT: I understand, let me look into a shipping delay for you.
[2025-01-15 10:20:47] CUSTOMER: I appreciate the quick response.
[2025-01-15 10:25:29] AGENT: The a shipping delay issue should now be resolved. Please verify.
[2025-01-15 10:27:16] CUSTOMER: Thank you, that helps.
[2025-01-15 10:31:17] AGENT: The a shipping delay issue should now be resolved. Please verify.
[2025-01-15 10:34:07] CUSTOMER: OK, I'll try that.
[2025-01-15 10:37:23] AGENT: I've checked and here's what I found regarding a shipping delay.
[2025-01-15 10:39:30] CUSTOMER: I appreciate the quick response.",no,
16,265,HYBRID,"If tagged 'sensitive' and over 15 turns, was urgency maintained?","Channel: phone | Tags: refund

[2025-01-15 10:00:00] CUSTOMER: I've been trying to a shipping delay but it's not working.
[2025-01-15 10:19:51] AGENT: I apologize for the inconvenience with a shipping delay. Let me investigate.
[2025-01-15 10:20:39] CUSTOMER: Great, that fixed it!
[2025-01-15 10:25:25] AGENT: I've checked and here's what I found regarding a shipping delay.
[2025-01-15 10:26:45] CUSTOMER: Is there anything else I should know?
[2025-01-15 10:31:13] AGENT: I've checked and here's what I found regarding a shipping delay.
[2025-01-15 10:35:09] CUSTOMER: Could you explain further?",no,
17,213,SEMANTIC,Detect whether the agent’s greeting apology is tied to the billing error and not a generic sorry.,"Channel: chat | Tags: feedback, urgent

[2025-01-15 10:00:00] CUSTOMER: I've been trying to the subscription renewal but it's not working.
[2025-01-15 10:11:39] AGENT: I understand, let me look into the subscription renewal for you.
[2025-01-15 10:12:13] CUSTOMER: Great, that fixed it!
[2025-01-15 10:16:35] AGENT: The the subscription renewal issue should now be resolved. Please verify.
[2025-01-15 10:20:10] CUSTOMER: Is there anything else I should know?
[2025-01-15 10:21:21] AGENT: I've checked and here's what I found regarding the subscription renewal.
[2025-01-15 10:22:39] CUSTOMER: Great, that fixed it!",No,
18,270,HYBRID,"For responses taking over 30 minutes, was there an apology?","Channel: email | Tags: billing, vip, feedback

[2025-01-15 10:00:00] CUSTOMER: Can someone help me with data export?
[2025-01-15 10:26:57] AGENT: I can help with that. Let me pull up the details on data export.
[2025-01-15 10:27:51] CUSTOMER: That's still not working for me.
[2025-01-15 10:31:28] AGENT: I've applied a fix for the data export issue.
[2025-01-15 10:35:12] CUSTOMER: Thank you, that helps.
[2025-01-15 10:36:06] AGENT: I've escalated the data export matter to our specialist team.
[2025-01-15 10:39:27] CUSTOMER: Thank you, that helps.
[2025-01-15 10:42:19] AGENT: Glad I could help. Have a great day!",no,
19,205,SEMANTIC,Detect whether the greeting included a brief recap of what the customer is contacting about (late shipment).,"Channel: email | Tags: feedback, technical, escalated

[2025-01-15 10:00:00] CUSTOMER: I've been trying to service outage but it's not working.
[2025-01-15 10:16:46] AGENT: Let me review your service outage situation.
[2025-01-15 10:20:00] CUSTOMER: Is there anything else I should know?
[2025-01-15 10:21:46] AGENT: I've applied a fix for the service outage issue.
[2025-01-15 10:26:16] CUSTOMER: OK, I'll try that.
[2025-01-15 10:27:57] AGENT: I've checked and here's what I found regarding service outage.
[2025-01-15 10:31:44] CUSTOMER: Thank you, that helps.",no,
20,199,SEMANTIC,"Did the agent ask any final check-in question before ending (e.g., anything else I can help with)?","Channel: email | Tags: refund, feedback, feature_request

[2025-01-15 10:00:00] CUSTOMER: Urgent: product returns is causing problems for our team.
[2025-01-15 10:09:50] AGENT: Let me review your product returns situation.
[2025-01-15 10:10:51] CUSTOMER: Thank you, that helps.
[2025-01-15 10:14:15] AGENT: The product returns issue should now be resolved. Please verify.
[2025-01-15 10:15:02] CUSTOMER: I appreciate the quick response.
[2025-01-15 10:18:10] AGENT: Is there anything else I can help with?",yes,
21,251,HYBRID,Assess handling appropriateness for 'sensitive' cases.,"Channel: phone | Tags: bug, feature_request

[2025-01-15 10:00:00] CUSTOMER: I've been trying to the integration setup but it's not working.
[2025-01-15 10:17:20] AGENT: I understand, let me look into the integration setup for you.
[2025-01-15 10:18:00] CUSTOMER: That's still not working for me.
[2025-01-15 10:19:12] AGENT: Could you try again? I've updated the the integration setup settings.
[2025-01-15 10:21:21] CUSTOMER: Great, that fixed it!",yes,
22,269,HYBRID,"For responses taking over 3 minutes, was there an apology?","Channel: chat | Tags: bug, billing, complaint

[2025-01-15 10:00:00] CUSTOMER: I'm frustrated — password reset hasn't been resolved.
[2025-01-15 10:13:28] AGENT: I apologize for the inconvenience with password reset. Let me investigate.
[2025-01-15 10:16:02] CUSTOMER: Could you explain further?
[2025-01-15 10:17:52] AGENT: I've checked and here's what I found regarding password reset.
[2025-01-15 10:21:28] CUSTOMER: OK, I'll try that.
[2025-01-15 10:24:03] AGENT: I've escalated the password reset matter to our specialist team.
[2025-01-15 10:24:57] CUSTOMER: Great, that fixed it!
[2025-01-15 10:25:58] AGENT: The password reset issue should now be resolved. Please verify.
[2025-01-15 10:30:41] CUSTOMER: I appreciate the quick response.
[2025-01-15 10:33:39] AGENT: Glad I could help. Have a great day!",yes,
23,211,SEMANTIC,"Check that agent didn’t twist customer’s request: customer asked escalate now due to locked account, not “wait 24 hours” unless that’s the stated policy AND they explained it.","Channel: email | Tags: 

[2025-01-15 10:00:00] CUSTOMER: I've been trying to the subscription renewal but it's not working.
[2025-01-15 10:01:46] AGENT: Thank you for reaching out. I'll check on the subscription renewal right away.
[2025-01-15 10:05:06] CUSTOMER: Thank you, that helps.
[2025-01-15 10:09:36] AGENT: I've applied a fix for the the subscription renewal issue.
[2025-01-15 10:10:21] CUSTOMER: That's still not working for me.
[2025-01-15 10:15:01] AGENT: The the subscription renewal issue should now be resolved. Please verify.
[2025-01-15 10:19:49] CUSTOMER: Great, that fixed it!
[2025-01-15 10:24:41] AGENT: I've checked and here's what I found regarding the subscription renewal.
[2025-01-15 10:29:08] CUSTOMER: I appreciate the quick response.
[2025-01-15 10:32:37] AGENT: I'll close this ticket. Feel free to reopen if needed.",no,
24,263,HYBRID,Assess handling appropriateness for 'urgent' cases.,"Channel: chat | Tags: refund, billing

[2025-01-15 10:00:00] CUSTOMER: Can someone help me with the integration setup?
[2025-01-15 10:28:29] AGENT: Thank you for reaching out. I'll check on the integration setup right away.
[2025-01-15 10:30:32] CUSTOMER: Could you explain further?
[2025-01-15 10:33:59] AGENT: I've checked and here's what I found regarding the integration setup.
[2025-01-15 10:37:46] CUSTOMER: Great, that fixed it!
[2025-01-15 10:42:36] AGENT: The the integration setup issue should now be resolved. Please verify.
[2025-01-15 10:47:01] CUSTOMER: I appreciate the quick response.",no,
25,242,HYBRID,"For upgrade requests resolved within 20 minutes, did the agent understand the customer’s priorities (cost vs. features) well enough to respond appropriately?","Channel: phone | Tags: 

[2025-01-15 10:00:00] CUSTOMER: I'm frustrated — password reset hasn't been resolved.
[2025-01-15 10:14:41] AGENT: Thank you for reaching out. I'll check on password reset right away.
[2025-01-15 10:16:49] CUSTOMER: Thank you, that helps.
[2025-01-15 10:21:12] AGENT: I've applied a fix for the password reset issue.
[2025-01-15 10:26:05] CUSTOMER: OK, I'll try that.
[2025-01-15 10:29:25] AGENT: Could you try again? I've updated the password reset settings.
[2025-01-15 10:30:00] CUSTOMER: Is there anything else I should know?
[2025-01-15 10:31:44] AGENT: I've checked and here's what I found regarding password reset.
[2025-01-15 10:34:01] CUSTOMER: OK, I'll try that.
[2025-01-15 10:34:33] AGENT: Is there anything else I can help with?",no,
26,228,SEMANTIC,Did the agent show empathy for the lost password frustration when presenting the fix?,"Channel: phone | Tags: complaint, escalated

[2025-01-15 10:00:00] CUSTOMER: Quick question about service outage.
[2025-01-15 10:28:46] AGENT: I apologize for the inconvenience with service outage. Let me investigate.
[2025-01-15 10:30:06] CUSTOMER: Could you explain further?
[2025-01-15 10:31:33] AGENT: Could you try again? I've updated the service outage settings.
[2025-01-15 10:33:41] CUSTOMER: Could you explain further?
[2025-01-15 10:35:27] AGENT: Please don't hesitate to reach out if you need more help.",no,
27,232,SEMANTIC,Confirm the agent addressed customer’s situation before offering pauses/discounts.,"Channel: phone | Tags: urgent, feature_request, vip

[2025-01-15 10:00:00] CUSTOMER: Quick question about order cancellation.
[2025-01-15 10:07:13] AGENT: Let me review your order cancellation situation.
[2025-01-15 10:09:02] CUSTOMER: That's still not working for me.
[2025-01-15 10:12:16] AGENT: I've escalated the order cancellation matter to our specialist team.
[2025-01-15 10:13:59] CUSTOMER: Could you explain further?
[2025-01-15 10:18:00] AGENT: Could you try again? I've updated the order cancellation settings.
[2025-01-15 10:21:52] CUSTOMER: Great, that fixed it!
[2025-01-15 10:26:42] AGENT: Glad I could help. Have a great day!",no,
28,224,SEMANTIC,"Check if agent ended the convo properly: confirm fix, offer more help, then finish.","Channel: email | Tags: 

[2025-01-15 10:00:00] CUSTOMER: Quick question about product returns.
[2025-01-15 10:20:22] AGENT: I understand, let me look into product returns for you.
[2025-01-15 10:23:22] CUSTOMER: OK, I'll try that.
[2025-01-15 10:26:00] AGENT: Could you try again? I've updated the product returns settings.
[2025-01-15 10:27:29] CUSTOMER: Great, that fixed it!
[2025-01-15 10:29:12] AGENT: Please don't hesitate to reach out if you need more help.",yes,
29,233,SEMANTIC,Did agent wrap things up properly?,"Channel: chat | Tags: 

[2025-01-15 10:00:00] CUSTOMER: I'm frustrated — a shipping delay hasn't been resolved.
[2025-01-15 10:21:58] AGENT: Let me review your a shipping delay situation.
[2025-01-15 10:25:37] CUSTOMER: Thank you, that helps.
[2025-01-15 10:27:04] AGENT: I've escalated the a shipping delay matter to our specialist team.
[2025-01-15 10:28:02] CUSTOMER: Thank you, that helps.
[2025-01-15 10:32:44] AGENT: Glad I could help. Have a great day!",yes,
30,254,HYBRID,"For cancellation requests where the agent proposes an alternative plan (metadata: plan_change_offered=true), judge whether the offer was presented courteously and professionally.","Channel: email | Tags: technical

[2025-01-15 10:00:00] CUSTOMER: I've been trying to the integration setup but it's not working.
[2025-01-15 10:21:05] AGENT: I understand, let me look into the integration setup for you.
[2025-01-15 10:24:36] CUSTOMER: Could you explain further?
[2025-01-15 10:29:29] AGENT: The the integration setup issue should now be resolved. Please verify.
[2025-01-15 10:32:34] CUSTOMER: Thank you, that helps.",no,
31,206,SEMANTIC,"Detect if the agent properly ended the subscription cancellation interaction, including offering alternatives like pausing the service or switching tiers, and then clearly asked if there’s anything else they can help with before ending.","Channel: phone | Tags: 

[2025-01-15 10:00:00] CUSTOMER: Can someone help me with data export?
[2025-01-15 10:17:34] AGENT: I understand, let me look into data export for you.
[2025-01-15 10:20:33] CUSTOMER: Great, that fixed it!
[2025-01-15 10:25:04] AGENT: The data export issue should now be resolved. Please verify.
[2025-01-15 10:27:42] CUSTOMER: Is there anything else I should know?
[2025-01-15 10:28:52] AGENT: I've escalated the data export matter to our specialist team.
[2025-01-15 10:30:22] CUSTOMER: Is there anything else I should know?
[2025-01-15 10:33:32] AGENT: Could you try again? I've updated the data export settings.
[2025-01-15 10:34:38] CUSTOMER: Great, that fixed it!",no,
32,274,HYBRID,"For VIP tickets about product returns, was the opening greeting appropriately courteous and personalized?","Channel: chat | Tags: 

[2025-01-15 10:00:00] CUSTOMER: I've been trying to product returns but it's not working.
[2025-01-15 10:29:48] AGENT: Let me review your product returns situation.
[2025-01-15 10:31:35] CUSTOMER: I appreciate the quick response.
[2025-01-15 10:35:12] AGENT: The product returns issue should now be resolved. Please verify.
[2025-01-15 10:38:16] CUSTOMER: Great, that fixed it!",no,
33,260,HYBRID,"For tickets where internal notes were used to document troubleshooting results, check whether the agent closed by confirming the customer can reach back easily","Channel: email | Tags: 

[2025-01-15 10:00:00] CUSTOMER: I'm frustrated — password reset hasn't been resolved.
[2025-01-15 10:05:31] AGENT: Thank you for reaching out. I'll check on password reset right away.
[2025-01-15 10:09:34] CUSTOMER: Great, that fixed it!
[2025-01-15 10:11:17] AGENT: I've escalated the password reset matter to our specialist team.
[2025-01-15 10:14:44] CUSTOMER: Thank you, that helps.",no,
34,273,HYBRID,"If tagged 'legal' and over 30 turns, was urgency maintained?","Channel: phone | Tags: feature_request, bug

[2025-01-15 10:00:00] CUSTOMER: I've been trying to the subscription renewal but it's not working.
[2025-01-15 10:01:56] AGENT: I understand, let me look into the subscription renewal for you.
[2025-01-15 10:05:22] CUSTOMER: Thank you, that helps.
[2025-01-15 10:06:32] AGENT: I've checked and here's what I found regarding the subscription renewal.
[2025-01-15 10:10:02] CUSTOMER: Is there anything else I should know?
[2025-01-15 10:13:15] AGENT: I'll close this ticket. Feel free to reopen if needed.",yes,
